age,sexe,taux,situationFamiliale,nbEnfantsAcharge,deuxiemeVoiture,immatriculation
62,F,501,En Couple,1,FALSE,9148 WK 31
41,F,513,celibataire,0,FALSE,1244 HA 72
46,F,736,En Couple,4,FALSE,5503 FQ 42
23,F,1235,En Couple,2,TRUE,3010 CJ 41
59,F,445,En Couple,4,TRUE,1481 LI 94
30,F,204,En Couple,2,FALSE,7955 RK 52
49,F,472,celibataire,0,FALSE,3962 ZN 24
46,M,451,celibataire,0,FALSE,3593 RP 65
35,M,531,Seule,1,FALSE,4073 GZ 47
22,F,515,En Couple,1,FALSE,5220 YA 83
39,M,584,En Couple,4,FALSE,5355 HV 57
39,M,404,En Couple,4,TRUE,1507 VD 21
35,F,244,En Couple,2,FALSE,3129 JD 56
22,M,436,En Couple,2,FALSE,4567 ZV 35
38,F,462,Seule,2,FALSE,4718 VS 17
37,F,1265,celibataire,0,FALSE,2227 SI 19
25,M,934,Seule,3,FALSE,8231 MN 61
21,M,502,En Couple,1,FALSE,9214 GR 38
49,M,959,celibataire,0,FALSE,2576 QM 67
61,M,243,celibataire,0,FALSE,5902 YC 10
20,M,188,celibataire,0,FALSE,4749 EB 60
48,F,165,celibataire,0,FALSE,3262 AJ 11
60,M,434,Seul,0,FALSE,3854 GN 29
20,F,831,En Couple,4,FALSE,5368 CH 70
25,M,1065,En Couple,1,TRUE,8633 QG 24
43,F,515,En Couple,2,FALSE,5100 HT 26
25,F,461,En Couple,1,FALSE,355 LH 19
55,M,819,En Couple,2,FALSE,3895 NC 83
52,F,431,celibataire,0,FALSE,4247 UO 71
30,M,237,En Couple,2,TRUE,7164 UH 85
35,M,514,En Couple,2,FALSE,7981 NS 40
29,M,1352,celibataire,0,FALSE,4574 JM 13
46,M,1331,En Couple,1,FALSE,4979 II 41
59,M,218,En Couple,4,FALSE,4963 JP 22
19,M,548,celibataire,0,FALSE,8824 ZV 72
41,M,233,celibataire,0,FALSE,7842 QA 59
50,M,822,celibataire,0,FALSE,6427 JL 91
67,F,408,En Couple,0,FALSE,2837 MW 81
73,M,597,celibataire,0,FALSE,8560 LE 43
35,M,1030,celibataire,0,FALSE,3016 RE 49
50,F,444,En Couple,1,FALSE,8154 HI 81
43,F,595,En Couple,0,TRUE,7543 IJ 31
19,M,462,En Couple,2,FALSE,721 JY 40
47,M,205,En Couple,2,FALSE,9187 XX 28
46,F,211,celibataire,0,FALSE,9310 AD 24
33,F,514,celibataire,0,FALSE,717 FZ 11
59,M,928,En Couple,2,FALSE,2234 GW 52
47,M,1127,celibataire,0,FALSE,5081 EQ 91
43,F,589,En Couple,3,FALSE,2402 LC 63
49,F,587,En Couple,1,FALSE,7852 ZL 43
28,F,168,En Couple,0,FALSE,2549 WV 85
25,M,767,En Couple,1,FALSE,9630 WX 41
53,M,584,En Couple,3,FALSE,323 MT 38
29,M,188,En Couple,3,FALSE,8425 LY 89
84,M,187,En Couple,3,FALSE,9071 GI 74
83,M,575,celibataire,0,FALSE,1863 XF 17
37,F,453,celibataire,0,FALSE,2878 IF 42
24,M,1004,celibataire,0,FALSE,8135 UX 44
26,M,883,En Couple,1,FALSE,8310 DC 13
53,F,492,En Couple,1,FALSE,983 OV 96
57,M,202,En Couple, ,FALSE,9727 JZ 85
46,M,987,celibataire,0,FALSE,2939 IY 78
39,M,736,celibataire,0,FALSE,2805 YC 54
51,F,1217,En Couple,2,FALSE,8004 IC 25
40,F,742,En Couple,1,TRUE,1347 BB 48
76,M,1007,Seule,2,FALSE,6458 KZ 62
68,M,586,En Couple,1,TRUE,632 XF 31
81,F,401,En Couple,4,FALSE,2579 HE 79
30,M,410,En Couple,1,TRUE,5926 DH 59
53,F,1055,En Couple,3,FALSE,9432 DA 32
35,M,405,En Couple,4,FALSE,6397 GY 19
69,F,809,En Couple,2,FALSE,6198 BX 74
62,F,550,En Couple,1,FALSE,7380 XC 15
23,M,189,En Couple,2,FALSE,5834 OB 40
77,M,195,En Couple,1,FALSE,832 XF 60
18,M,1052,En Couple,2,FALSE,6548 WP 42
27,M,422,Seule,2,FALSE,2475 ZV 67
38,M,189,celibataire,0,FALSE,4116 HQ 35
83,M,174,celibataire,0,FALSE,302 AU 54
80,M,1131,celibataire,0,FALSE,1280 YU 82
18,F,588,celibataire,0,FALSE,4870 GZ 45
39,F,1135,celibataire,0,FALSE,28 IF 32
21,M,729,En Couple,1,FALSE,1762 MI 50
53,M,438,En Couple,0,FALSE,7951 WQ 66
35,M,213,En Couple,4,TRUE,7794 PH 43
40,M,502,celibataire,0,FALSE,8596 DL 36
58,M,464,En Couple,0,FALSE,7113 JZ 32
40,M,715,En Couple,2,FALSE,7382 IG 49
48,M,483,celibataire,0,FALSE,7692 WA 30
58,F,240,En Couple,3,TRUE,3538 SF 82
68,F,1056,En Couple,4,FALSE,5137 OW 90
56,M,585,En Couple,1,FALSE,9000 LV 79
42,F,471,En Couple,1,TRUE,8592 PY 85
56,M,561,En Couple,3,TRUE,8106 HI 83
57,F,490,celibataire,0,FALSE,3381 WI 46
31,M,501,En Couple,4,FALSE,7387 ZP 17
21,F,246,celibataire,0,FALSE,6219 AN 36
49,F,480,En Couple,2,FALSE,977 HX 82
23,M,156,En Couple,0,TRUE,5169 YT 60
33,M,563,En Couple,4,TRUE,2852 ZJ 14
37,M,229,celibataire,0,FALSE,1273 QV 79
83,M,506,celibataire,0,FALSE,6668 LB 62
26,M,411,En Couple,1,FALSE,9699 HV 16
26,M,215,En Couple,1,FALSE,8277 GH 45
19,M,1369,En Couple,2,FALSE,3798 AK 79
84,M,425,Seule,3,FALSE,9678 SB 18
34,F,489,celibataire,0,FALSE,3159 BI 24
42,M,850,celibataire,0,FALSE,7717 TG 17
59,M,1369,En Couple,4,FALSE,5296 DV 10
29,M,236,En Couple,4,FALSE,5308 KD 97
30,M,184,En Couple,1,FALSE,6074 SV 23
24,M,452,En Couple,2,FALSE,6887 BI 14
24,M,473,En Couple,0,TRUE,8674 PN 29
20,F,183,En Couple,1,FALSE,5467 TR 87
44,M,179,celibataire,0,FALSE,7447 QZ 81
23,F,1292,celibataire,0,FALSE,5136 QU 95
32,M,232,celibataire,0,FALSE,9113 SE 25
45,M,536,celibataire,0,FALSE,1664 LB 23
43,F,218,En Couple,4,FALSE,5564 KZ 31
42,M,473,Seule,2,FALSE,6021 LD 70
63,M,237,En Couple,0,FALSE,8578 FD 11
29,M,437,En Couple,2,FALSE,606 FQ 64
21,M,1274,En Couple,4,FALSE,8788 WK 96
42,M,479,En Couple,2,FALSE,7754 IZ 46
65,F,1138,Seule,1,FALSE,3466 LO 68
27,F,419,En Couple,0,FALSE,5482 IX 28
58,F,160,Seule,2,FALSE,2381 BG 79
25,F,1017,celibataire,0,FALSE,4755 VD 13
76,M,1165,En Couple,2,FALSE,5355 AX 28
58,M,1336,En Couple,0,FALSE,6777 ZG 15
44,M,1360,En Couple,2,FALSE,4867 CE 58
43,M,243,En Couple,2,TRUE,181 GG 70
19,F,818,En Couple,2,FALSE,3604 LR 52
57,M,1066,En Couple,0,FALSE,9024 SQ 19
44,M,414,En Couple,0,FALSE,4498 IK 40
41,M,550,En Couple,3,FALSE,9093 BJ 82
22,F,475,Seul,0,FALSE,4017 TD 29
29,M,232,En Couple,1,FALSE,4834 LN 94
35,F,814,En Couple,4,FALSE,4695 DH 72
42,M,511,En Couple,1,FALSE,1255 LC 16
68,M,458,celibataire,0,FALSE,6174 KI 39
72,M,231,celibataire,0,FALSE,5252 HT 69
60,F,1341,celibataire,0,FALSE,8127 NF 35
22,M,215,Marie,0,FALSE,9391 CZ 47
35,M,538,celibataire,0,FALSE,8183 PV 25
52,M,162,celibataire,0,FALSE,1355 TI 93
66,M,456,Seule,1,FALSE,1205 OJ 12
57,M,519,En Couple,2,FALSE,3970 FU 93
76,M,1123,Seul,0,FALSE,1369 AQ 52
68,M,756,En Couple,4,TRUE,3628 KV 47
69,M,1132,celibataire,0,FALSE,231 GF 56
56,M,238,celibataire,0,FALSE,5557 GA 56
39,M,576,En Couple,3,FALSE,2785 KF 14
26,F,459,celibataire,0,FALSE,1018 IO 53
40,M,596,celibataire,0,FALSE,9264 WJ 46
26,M,240,celibataire,0,FALSE,6812 AI 53
58,M,712,celibataire,0,FALSE,4348 YM 70
28,M,743,celibataire,0,FALSE,43 YK 44
23,M,191,En Couple,1,FALSE,5614 AR 33
26,M,495,Seule,1,FALSE,3483 EV 36
22,F,452,celibataire,0,FALSE,3973 QZ 49
41,M,517,En Couple,2,TRUE,4018 RF 48
28,M,490,En Couple,1,FALSE,7293 VB 59
18,M,489,En Couple,3,TRUE,2631 BV 23
77,M,1159,En Couple,0,FALSE,25 BK 34
31,M,821,celibataire,0,FALSE,3540 LX 12
70,M,247,En Couple,3,FALSE,409 PU 41
84,M,428,celibataire,0,FALSE,197 MQ 43
22,M,510,En Couple,3,TRUE,9924 OQ 36
55,M,936,En Couple,4,FALSE,7543 AK 12
 ,F,435,En Couple,2,FALSE,1599 UD 71
46,M,423,celibataire,0,FALSE,5401 VM 74
48,F,491,celibataire,0,FALSE,7124 VO 14
82,F,409,En Couple,1,FALSE,8813 XH 10
40,M,451,En Couple,3,FALSE,1772 ID 68
50,M,537,En Couple,2,TRUE,7543 GK 21
30,F,189,En Couple,1,FALSE,9812 ET 33
52,F,200,En Couple,1,FALSE,8524 GM 20
22,M,585,En Couple,2,FALSE,3371 LQ 35
40,F,527,En Couple,1,FALSE,2756 MN 81
22,M,421,celibataire,0,FALSE,4802 YA 29
47,M,574,En Couple,1,FALSE,201 FY 61
40,M,544,En Couple,3,TRUE,7626 KU 36
52,M,158,En Couple,4,FALSE,5397 YA 15
32,M,553,En Couple,2,FALSE,8137 PH 26
37,F,550,En Couple,3,FALSE,8679 YY 42
57,M,765,En Couple,1,FALSE,9333 AK 58
53,M,527,En Couple,3,FALSE,7102 TB 77
76,F,180,En Couple,1,FALSE,5686 XB 78
21,M,404,En Couple,4,FALSE,7820 ST 98
40,M,1291,celibataire,0,FALSE,7336 PW 18
52,M,1020,celibataire,0,FALSE,9891 ZA 54
18,M,467,En Couple,1,FALSE,982 RA 79
25,M,451,En Couple,1,FALSE,11 YH 15
18,M,509,En Couple,1,FALSE,4112 OL 37
20,M,1180,Seule,2,FALSE,2762 MF 81
34,M,408,En Couple,0,FALSE,3381 WT 37
25,M,1115,En Couple,3,FALSE,3177 UX 66
46,M,464,En Couple,1,FALSE,5817 HY 95
34,M,502,En Couple,4,TRUE,8341 JH 75
60,M,582,celibataire,0,FALSE,4816 OA 92
52,M,1231,En Couple,3,FALSE,8828 WZ 32
31,F,238,En Couple,2,FALSE,8160 GF 15
34,M,1322,En Couple,4,FALSE,9675 RZ 51
21,M,1167,En Couple,4,FALSE,8147 YI 20
24,M,196,En Couple,4,TRUE,822 YW 64
75,M,833,En Couple,1,FALSE,9650 GY 93
43,M,453,En Couple,0,FALSE,4720 SK 49
49,M,402,En Couple,4,FALSE,3562 BX 22
62,F,1242,celibataire,0,FALSE,221 NE 47
29,M,431,En Couple,3,FALSE,5498 WF 39
22,M,552,En Couple,2,FALSE,5975 GW 37
62,F,401,Seule,2,FALSE,1635 UJ 28
23,M,454,En Couple,4,FALSE,2054 YR 77
30,M,482,En Couple,3,FALSE,6630 DO 50
40,M,735,En Couple,3,FALSE,1830 OH 52
76,M,800,Seule,2,FALSE,3753 HW 47
52,M,741,En Couple,4,TRUE,3076 WL 16
24,M,451,celibataire,0,FALSE,9714 QF 47
29,M,998,Marie,3,FALSE,753 IT 73
23,F,444,celibataire,0,FALSE,2505 SI 30
26,M,558,En Couple,3,FALSE,8317 HN 95
42,M,242,celibataire,0,FALSE,4490 ZG 54
27,M,464,En Couple,3,FALSE,7548 IV 13
34,F,479,En Couple,0,FALSE,6064 IA 15
40,M,154,celibataire,0,FALSE,6228 VR 97
22,M,576,celibataire,0,FALSE,2619 NV 40
83,F,1369,celibataire,0,FALSE,5581 EP 47
28,M,218,En Couple,0,FALSE,2042 ER 56
62,F,188,En Couple,1,TRUE,3951 MC 46
75,M,547,En Couple,0,FALSE,9537 MI 73
38,M,750,En Couple,3,FALSE,7895 DZ 47
47,M,996,celibataire,0,FALSE,8580 IY 74
71,M,445,En Couple,3,FALSE,9745 LP 74
34,M,213,celibataire,0,FALSE,1977 JC 73
21,M,528,En Couple,4,FALSE,1886 HK 94
49,M,715,En Couple,2,FALSE,6058 QK 91
58,M,511,En Couple,2,TRUE,4976 NB 11
60,M,211,En Couple,0,FALSE,4336 MV 52
81,M,216,En Couple,2,FALSE,7817 MW 21
56,F,1237,En Couple,1,TRUE,1032 GU 86
54,F,475,celibataire,0,FALSE,6543 PK 18
64,M,222,En Couple,3,FALSE,6482 MQ 97
18,F,502,En Couple,1,FALSE,474 GC 89
20,M,535,En Couple,2,FALSE,5852 VY 95
29,M,197,En Couple,1,FALSE,1828 CN 19
43,F,236,En Couple,1,TRUE,2731 JH 81
67,M,489,En Couple,3,TRUE,7735 RA 85
42,M,459,En Couple,2,FALSE,3473 MU 19
18,M,784,En Couple,4,FALSE,882 BK 93
30,M,404,En Couple,3,FALSE,3447 FJ 60
71,M,506,celibataire,0,FALSE,6212 NZ 97
76,M,1271,En Couple,4,FALSE,6533 PQ 92
43,M,874,celibataire,0,FALSE,1647 SM 23
44,M,467,En Couple,4,FALSE,4724 ST 84
33,M,448,En Couple,4,FALSE,8870 EV 32
30,F,893,En Couple,0,FALSE,387 WE 91
39,M,871,celibataire,0,FALSE,3550 HM 15
18,M,1324,En Couple,2,TRUE,1871 NA 14
20,?,742,En Couple,3,FALSE,1088 HQ 72
26,M,215,En Couple,4,FALSE,9672 UP 93
84,M,461,En Couple,4,FALSE,4645 KP 96
37,M,985,En Couple,2,FALSE,1410 OH 17
57,M,1376,celibataire,0,FALSE,4328 CB 96
60,M,1256,En Couple,1,FALSE,9361 NA 18
35,F,1073,celibataire,0,FALSE,2983 GS 27
47,M,565,En Couple,3,FALSE,2795 UP 37
32,F,542,celibataire,0,FALSE,9730 CV 69
69,M,157,En Couple,0,FALSE,618 SN 26
80,M,535,celibataire,0,FALSE,2730 AR 75
50,F,807,En Couple,4,FALSE,5287 HF 38
33,M,527,En Couple,3,FALSE,7907 WT 14
26,M,210,En Couple,0,FALSE,607 AN 97
51,M,464,celibataire,0,FALSE,3201 BH 77
46,M,196,En Couple,0,FALSE,2338 QU 28
22,M,1289,celibataire,0,FALSE,9774 JQ 62
23,F,506,celibataire,0,FALSE,7566 LC 92
75,M,444,celibataire,0,FALSE,9378 RB 52
50,M,1278,En Couple,1,FALSE,5095 YU 21
42,M,172,En Couple,4,FALSE,6073 FV 68
18,M,160,En Couple,1,FALSE,3746 ZM 97
36,M,1276,En Couple,0,FALSE,7553 YW 52
49,M,503,En Couple,2,FALSE,4725 DQ 54
31,M,785,En Couple,0,FALSE,5384 BW 34
48,M,974,Seule,1,FALSE,9625 TK 93
47,F,420,Seule,2,FALSE,8241 KZ 58
48,M,1204,En Couple,1,FALSE,4280 XG 29
37,M,984,En Couple,3,FALSE,4016 ZR 12
53,M,737,En Couple,2,TRUE,4494 OT 62
42,M,880,En Couple,2,FALSE,6569 VT 41
54,M,216,En Couple,3,FALSE,4347 IF 93
80,F,577,celibataire,0,FALSE,340 YG 84
41,M,436,celibataire,0,FALSE,7710 UA 68
49,M,497,En Couple,1,TRUE,2060 XI 70
23,M,194,celibataire,0,FALSE,1259 UT 58
38,M,426,Seule,2,FALSE,282 QQ 62
31,F,466,En Couple,0,FALSE,7798 NI 94
66,F,467,En Couple,2,FALSE,7166 JC 20
21,F,1298,En Couple,4,TRUE,7814 MX 73
52,F,579,En Couple,3,FALSE,630 JT 40
38,M,950,En Couple,1,FALSE,8898 LJ 60
27,M,1379,En Couple,1,FALSE,9365 MF 98
72,M,571,En Couple,2,FALSE,502 SR 10
60,M,1281,Seule,2,FALSE,5485 RH 63
45,F,1306,celibataire,0,FALSE,7231 XL 31
48,M,558,En Couple,0,FALSE,4068 RT 83
56,M,232,En Couple,0,TRUE,5978 HI 18
21,M,232,En Couple,3,FALSE,4722 AE 21
58,M,225,En Couple,4,TRUE,9960 BA 59
24,M,1397,En Couple,1,FALSE,7025 YI 58
78,M,568,En Couple,0,FALSE,3645 DW 52
49,M,237,En Couple,0,TRUE,5947 SD 82
26,M,495,En Couple,2,FALSE,1644 FU 73
49,M,880,En Couple,0,FALSE,7983 DK 81
68,M,433,celibataire,0,FALSE,1372 GP 31
56,M,770,En Couple,0,TRUE,637 RP 51
33,M,1006,celibataire,0,FALSE,9893 PH 90
46,F,914,En Couple,1,FALSE,7748 KS 21
22,F,548,celibataire,0,FALSE,9651 UP 32
35,M,188,En Couple,2,FALSE,6954 GB 31
21,M,234,En Couple,0,FALSE,2674 DC 24
67,M,809,celibataire,0,FALSE,8836 IR 14
71,M,154,En Couple,1,FALSE,2895 NF 71
35,M,176,celibataire,0,FALSE,7993 AQ 95
51,M,945,En Couple,1,FALSE,2445 UA 22
72,M,570,celibataire,0,FALSE,1667 AX 60
23,M,169,En Couple,1,FALSE,3133 LL 15
58,M,456,En Couple,0,FALSE,5405 IL 59
33,M,155,Seule,3,FALSE,8692 EX 12
45,M,206,celibataire,0,FALSE,4805 JS 42
55,M,1249,En Couple,0,FALSE,5928 CN 89
82,F,700,En Couple,4,FALSE,9563 TW 90
38,M,1052,En Couple,0,FALSE,6819 NJ 46
29,M,1395,Marie,0,FALSE,3824 PM 37
21,M,576,En Couple,1,FALSE,1710 EY 84
70,F,480,En Couple,4,FALSE,2072 UY 63
53,F,504,celibataire,0,FALSE,9479 AL 66
23,M,469,celibataire,0,FALSE,9127 CP 46
49,F,1174,En Couple,2,FALSE,6987 IN 21
21,M,1289,En Couple,2,FALSE,1447 YA 89
33,M,571,celibataire,0,FALSE,1899 UC 12
36,M,537,celibataire,0,FALSE,6560 GG 75
24,F,501,Seule,2,FALSE,7883 AI 40
49,M,1041,celibataire,0,FALSE,6094 TC 71
56,M,1385,En Couple,4,FALSE,7342 TF 91
54,M,593,celibataire,0,FALSE,9055 GM 27
29,M,541,celibataire,0,FALSE,9211 XJ 21
77,M,933,En Couple,2,FALSE,6401 OV 81
32,F,501,En Couple,0,TRUE,7834 SE 15
38,M,525,En Couple,3,FALSE,3336 NA 11
25,F,1206,celibataire,0,FALSE,5479 CL 36
28,M,451,En Couple,3,FALSE,1653 NC 86
76,F,162,En Couple,1,FALSE,2734 EV 20
28,M,1010,En Couple,2,TRUE,3519 LD 61
77,M,151,En Couple,1,TRUE,2396 YZ 22
67,F,1139,En Couple,0,FALSE,7550 KG 36
62,F,231,celibataire,0,FALSE,4788 HO 75
48,F,1175,En Couple,3,FALSE,3802 QP 97
29,M,560,En Couple,1,FALSE,6023 WV 18
60,M,204,celibataire,0,FALSE,8768 DX 65
27,M,578,En Couple,0,FALSE,6186 JJ 87
49,M,159,En Couple,0,FALSE,6605 PU 86
49,M,717,celibataire,0,FALSE,8452 ZE 14
77,M,1180,celibataire,0,FALSE,4432 CF 10
74,F,407,En Couple,1,FALSE,6220 HH 98
35,M,413,Divorc?e,1,FALSE,8428 YZ 27
84,M,1365,celibataire,0,FALSE,7790 CR 44
72,M,563,celibataire,0,FALSE,7219 CJ 70
29,M,585,celibataire,0,FALSE,4743 HQ 50
54,M,530,celibataire,0,FALSE,8779 MV 94
43,M,1120,celibataire,0,FALSE,1396 GT 13
56,F,497,celibataire,0,FALSE,1196 QN 78
29,M,1293,En Couple,0,FALSE,2167 ZB 60
51,M,556,En Couple,1,FALSE,7200 OF 62
58,F,511,En Couple,0,TRUE,321 PD 38
83,F,834,Seule,1,FALSE,946 IN 65
28,M,499,En Couple,4,FALSE,248 ER 91
21,F,1314,En Couple,0,FALSE,6639 IO 64
36,M,478,En Couple,4,FALSE,4546 ER 38
66,M,564,En Couple,2,FALSE,9831 GP 35
34,F,474,En Couple,4,TRUE,9752 LI 28
29,F,225,celibataire,0,FALSE,5996 OO 22
50,M,939,En Couple,4,FALSE,2564 BL 56
35,F,554,celibataire,0,FALSE,33 NC 67
83,M,1079,celibataire,0,FALSE,7538 MV 64
37,M,401,En Couple,0,FALSE,2299 LH 80
77,F,1319,En Couple,4,FALSE,2242 QM 62
55,M,428,En Couple,2,FALSE,1075 KB 31
19,M,508,En Couple,1,FALSE,8164 MO 52
